t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg]
2.075496196746826172e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-3.431010689701388117e-01,-1.965824319841592427e+01
2.100586414337158203e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-3.579497512081737387e-01,-2.050901002198619594e+01
2.125687122344970703e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-3.719559289305577887e-01,-2.131150489258895675e+01
2.150332450866699219e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-3.886832019448533404e-01,-2.226990703907116753e+01
2.175392150878906250e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-4.054397780896381587e-01,-2.322998813125693474e+01
2.200506210327148438e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-4.378527439927109022e-01,-2.508711427900444590e+01
2.225594758987426758e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-4.524453156673524656e-01,-2.592320704820355814e+01
2.250396013259887695e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-4.653465576373742030e-01,-2.666239376356284652e+01
2.275408506393432617e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-4.762811435285458361e-01,-2.728889938585027863e+01
2.300280094146728516e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-4.856424045566374303e-01,-2.782526013368022433e+01
2.325363874435424805e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-4.937450056942649379e-01,-2.828950498194418017e+01
2.350276231765747070e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.005338827619441044e-01,-2.867847898555534769e+01
2.375279188156127930e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.065785767312416255e-01,-2.902481443844427389e+01
2.400485992431640625e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.158351691306690689e-01,-2.955517811560434538e+01
2.425277709960937500e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.194331981413758959e-01,-2.976132999248347488e+01
2.449935913085937500e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.223116213499413574e-01,-2.992625149398678275e+01
2.474866390228271484e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.249211560743708427e-01,-3.007576682018942549e+01
2.500050067901611328e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.273155800114915914e-01,-3.021295720615154323e+01
2.525161027908325195e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.292311191611882570e-01,-3.032270951492123956e+01
2.550005674362182617e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.310703466385227056e-01,-3.042808948693699733e+01
2.575589895248413086e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.325417286203901757e-01,-3.051239346454959644e+01
2.600466012954711914e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.349673148318565552e-01,-3.065136931731174741e+01
2.625129461288452148e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.359660993326343936e-01,-3.070859545384939793e+01
2.650032043457031250e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.367651269332567310e-01,-3.075437636307952260e+01
2.675038337707519531e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.377111451713316725e-01,-3.080857921546362022e+01
2.700024843215942383e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.390734114341596550e-01,-3.088663132289672220e+01
2.724903106689453125e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.390734114341596550e-01,-3.088663132289672220e+01
2.749881982803344727e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.395577727720540784e-01,-3.091438318331738344e+01
2.775105237960815430e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.399452618423695727e-01,-3.093658467165390746e+01
2.800001144409179688e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.407486830296855951e-01,-3.098261731485850490e+01
2.825221538543701172e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.412047862060519465e-01,-3.100875010188681102e+01
2.849969148635864258e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.415696687471449611e-01,-3.102965633150944669e+01
2.874840259552001953e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.418615747800193949e-01,-3.104638131520756161e+01
2.900255203247070312e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.422819194673585974e-01,-3.107046529173284455e+01
2.925005197525024414e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.424313753561903484e-01,-3.107902848338627777e+01
2.950258493423461914e+00,6.363636255264282227e-01,-5.303030014038085938e-01,5.303031206130981445e-02,5.833333134651184082e-01,5.303030303030303871e-02,5.833333333333332593e-01,-5.424313753561903484e-01,-3.107902848338627777e+01
2.975410699844360352e+00,6.363636255264282227e-01,-3.636363744735717773e-01,1.363636255264282227e-01,5.000000000000000000e-01,1.363636363636363813e-01,4.999999999999999445e-01,-5.428577362248327987e-01,-3.110345716170902364e+01
3.000215291976928711e+00,6.363636255264282227e-01,-1.969697028398513794e-01,2.196969613432884216e-01,4.166666641831398010e-01,2.196969696969697239e-01,4.166666666666665186e-01,-5.434716958756780070e-01,-3.113863445849377953e+01
3.025155782699584961e+00,6.363636255264282227e-01,-3.030303120613098145e-02,3.030302971601486206e-01,3.333333283662796021e-01,3.030303030303030942e-01,3.333333333333331483e-01,-5.436899926404229477e-01,-3.115114194179502505e+01
3.049901247024536133e+00,6.363636255264282227e-01,1.363636404275894165e-01,3.863636329770088196e-01,2.499999925494194031e-01,3.863636363636364646e-01,2.499999999999998057e-01,-5.438646300522188559e-01,-3.116114792843601933e+01
3.074973344802856445e+00,5.833333134651184082e-01,2.500000000000000000e-01,4.166666567325592041e-01,1.666666567325592041e-01,4.166666666666666852e-01,1.666666666666664631e-01,-5.440043399816556491e-01,-3.116915271774881546e+01
