t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg],z[m],dz[m]
1.933445668220520020e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181035846799736999e-01,6.766836947528420687e+00,8.122416138648986816e-01,-2.915620803833007812e-03
1.933958029747009277e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181035846799736999e-01,6.766836947528420687e+00,8.122416138648986816e-01,-2.915620803833007812e-03
1.934455990791320801e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181035846799736999e-01,6.766836947528420687e+00,8.122648596763610840e-01,-2.892374992370605469e-03
1.934942126274108887e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181035846799736999e-01,6.766836947528420687e+00,8.122726678848266602e-01,-2.884566783905029297e-03
1.935435080528259277e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181035846799736999e-01,6.766836947528420687e+00,8.122726678848266602e-01,-2.884566783905029297e-03
1.935932016372680664e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181035846799736999e-01,6.766836947528420687e+00,8.122656345367431641e-01,-2.891600131988525391e-03
1.936436939239501953e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181061718774178426e-01,6.766985183022736550e+00,8.122656345367431641e-01,-2.891600131988525391e-03
1.936937212944030762e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181061718774178426e-01,6.766985183022736550e+00,8.122656345367431641e-01,-2.891600131988525391e-03
1.937447500228881836e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181061718774178426e-01,6.766985183022736550e+00,8.122437000274658203e-01,-2.913534641265869141e-03
1.937941217422485352e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.181082416353731457e-01,6.767103771418189417e+00,8.122506141662597656e-01,-2.906620502471923828e-03
