t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg],z[m],dz[m]
1.014038109779357910e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.160869287296446978e-01,6.651291072844624175e+00,8.128481507301330566e-01,-2.236068248748779297e-03
1.014537239074707031e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.171064394323088897e-01,6.709704733275699162e+00,8.128609657287597656e-01,-2.223253250122070312e-03
1.015034532546997070e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.171064394323088897e-01,6.709704733275699162e+00,8.128609657287597656e-01,-2.223253250122070312e-03
1.015527534484863281e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.171064394323088897e-01,6.709704733275699162e+00,8.129081726074218750e-01,-2.176046371459960938e-03
1.016057872772216797e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.171064394323088897e-01,6.709704733275699162e+00,8.129081726074218750e-01,-2.176046371459960938e-03
1.016513013839721680e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179220479944402405e-01,6.756435661620559863e+00,8.128854036331176758e-01,-2.198815345764160156e-03
1.017040729522705078e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179220479944402405e-01,6.756435661620559863e+00,8.128854036331176758e-01,-2.198815345764160156e-03
1.017512965202331543e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179220479944402405e-01,6.756435661620559863e+00,8.129081130027770996e-01,-2.176105976104736328e-03
1.018026733398437500e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.179220479944402405e-01,6.756435661620559863e+00,8.129081130027770996e-01,-2.176105976104736328e-03
1.018558812141418457e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.185745348441453323e-01,6.793820404296448068e+00,8.129677772521972656e-01,-2.116441726684570312e-03
