t[s],theta[rad],theta_ref[rad],error[rad],p1[MPa],p2[MPa],cost,comp_time[s]
0.5500000000000003,0.4279854264044709,0.5235987755982988,0.09561334919382791,0.10500000000000001,0.44686691394677147,0.147809091672501,0.0018699169158935547
0.5600000000000003,0.2724188708808595,0.5235987755982988,0.25117990471743934,0.07,0.4818669139467715,0.058982660742267434,0.0013880729675292969
0.5700000000000003,0.6094673269644493,0.5235987755982988,-0.08586855136615046,0.035,0.5168669139467715,0.09561334919382791,0.0012257099151611328
0.5800000000000003,0.6911255718734428,0.5235987755982988,-0.167526796275144,0.030744729208159516,0.5132538112991996,0.25117990471743934,0.0012240409851074219
0.5900000000000003,0.5692097045974664,0.5235987755982988,-0.04561092899916763,0.06574472920815952,0.4782538112991995,0.08586855136615046,0.0012526512145996094
0.6000000000000003,0.37919412914919914,0.5235987755982988,0.14440464644909967,0.10074472920815952,0.49232197077004414,0.167526796275144,0.0012235641479492188
0.6100000000000003,0.40141247589082996,0.5235987755982988,0.12218629970746886,0.13574472920815953,0.4573219707700441,0.04561092899916763,0.0012676715850830078
0.6200000000000003,0.5407289250980147,0.5235987755982988,-0.01713014949971592,0.17074472920815953,0.4223219707700441,0.14440464644909967,0.0008115768432617188
0.6300000000000003,0.4354176173274311,0.5235987755982988,0.0881811582708677,0.16731420680882048,0.42402851333759994,0.12218629970746886,0.00014019012451171875
0.6400000000000003,0.3717385523331094,0.5235987755982988,0.15186022326518944,0.13231420680882047,0.4590285133376,0.01713014949971592,0.0001323223114013672
0.6500000000000004,0.5747539611142918,0.5235987755982988,-0.05115518551599296,0.09731420680882047,0.4940285133376,0.0881811582708677,0.00013375282287597656
0.6600000000000004,0.7312716021845576,0.5235987755982988,-0.20767282658625874,0.13231420680882047,0.4590285133376,0.15186022326518944,0.00012683868408203125
0.6700000000000004,0.33686861354823394,0.5235987755982988,0.18673016205006487,0.16731420680882048,0.42402851333759994,0.05115518551599296,0.00012612342834472656
0.6800000000000004,0.29607138210628214,0.5235987755982988,0.22752739349201667,0.18316106018938516,0.4590285133376,0.20767282658625874,0.00012874603271484375
0.6900000000000004,0.2981349036672776,0.5235987755982988,0.22546387193102124,0.14816106018938516,0.4940285133376,0.18673016205006487,0.00012731552124023438
0.7000000000000004,0.6062664525699069,0.5235987755982988,-0.08266767697160804,0.135768662638577,0.47081040323102596,0.22752739349201667,0.00012755393981933594
0.7100000000000004,0.4571511774883825,0.5235987755982988,0.0664475981099163,0.170768662638577,0.43581040323102593,0.22546387193102124,0.00012612342834472656
0.7200000000000004,0.5039578417105124,0.5235987755982988,0.019640933887786427,0.18423898642374859,0.4571100496608189,0.08266767697160804,0.00012803077697753906
0.7300000000000004,0.3421444850446842,0.5235987755982988,0.18145429055361462,0.2192389864237486,0.45097136155341033,0.0664475981099163,0.00012969970703125
0.7400000000000004,0.5434701649248779,0.5235987755982988,-0.01987138932657906,0.2542389864237486,0.4159713615534103,0.019640933887786427,0.00013494491577148438
0.7500000000000004,0.3293049798700989,0.5235987755982988,0.19429379572819994,0.28923898642374857,0.38097136155341027,0.18145429055361462,0.0001285076141357422
0.7600000000000005,0.3363480876850655,0.5235987755982988,0.1872506879132333,0.25423898642374854,0.4159713615534103,0.01987138932657906,0.0001277923583984375
0.7700000000000005,0.36542057009928053,0.5235987755982988,0.1581782054990183,0.21923898642374853,0.45097136155341033,0.19429379572819994,0.00012731552124023438
0.7800000000000005,0.6940453726136264,0.5235987755982988,-0.1704465970153276,0.25423898642374854,0.4159713615534103,0.1872506879132333,0.0001266002655029297
0.7900000000000005,0.29811782026709177,0.5235987755982988,0.22548095533120704,0.28923898642374857,0.38097136155341027,0.1581782054990183,0.0001266002655029297
0.8000000000000005,0.37640948339482616,0.5235987755982988,0.14718929220347265,0.25423898642374854,0.4159713615534103,0.1704465970153276,0.00012946128845214844
0.8100000000000005,0.30149317411632914,0.5235987755982988,0.22210560148196967,0.21923898642374853,0.45097136155341033,0.22548095533120704,0.00013113021850585938
0.8200000000000005,0.6171159877346439,0.5235987755982988,-0.09351721213634512,0.20491019222929285,0.45749561826113694,0.14718929220347265,0.00013446807861328125
0.8300000000000005,0.4560825140076026,0.5235987755982988,0.06751626159069624,0.23991019222929286,0.4224956182611369,0.22210560148196967,0.0001285076141357422
0.8400000000000005,0.3669824549861884,0.5235987755982988,0.1566163206121104,0.27491019222929286,0.3874956182611369,0.09351721213634512,0.0001277923583984375
0.8500000000000005,0.22759365536388754,0.5235987755982988,0.2960051202344113,0.23991019222929286,0.4224956182611369,0.06751626159069624,0.00012922286987304688
0.8600000000000005,0.6011769382765482,0.5235987755982988,-0.07757816267824935,0.20491019222929285,0.45749561826113694,0.1566163206121104,0.00012993812561035156
0.8700000000000006,0.38898997025254145,0.5235987755982988,0.13460880534575737,0.23991019222929286,0.4224956182611369,0.2960051202344113,0.000125885009765625
0.8800000000000006,0.5072689032705393,0.5235987755982988,0.01632987232775951,0.27491019222929286,0.3874956182611369,0.07757816267824935,0.0001308917999267578
0.8900000000000006,0.272078789497473,0.5235987755982988,0.2515199861008258,0.30991019222929284,0.4224956182611369,0.13460880534575737,0.000125885009765625
0.9000000000000006,0.4846253461986354,0.5235987755982988,0.03897342939966342,0.34491019222929287,0.3874956182611369,0.01632987232775951,0.00012636184692382812
0.9100000000000006,0.3356682198595242,0.5235987755982988,0.1879305557387746,0.3799101922292929,0.3714972888105339,0.2515199861008258,0.000125885009765625
0.9200000000000006,0.4644413740774116,0.5235987755982988,0.05915740152088722,0.398799447228789,0.33649728881053387,0.03897342939966342,0.00012636184692382812
0.9300000000000006,0.3952846350343211,0.5235987755982988,0.12831414056397772,0.37276683097118957,0.3714972888105339,0.1879305557387746,0.00012731552124023438
0.9400000000000006,0.5215458322155324,0.5235987755982988,0.0020529433827664034,0.33776683097118954,0.40649728881053393,0.05915740152088722,0.00012540817260742188
0.9500000000000006,0.39404739475502315,0.5235987755982988,0.12955138084327567,0.3027668309711895,0.44149728881053396,0.12831414056397772,0.000125885009765625
0.9600000000000006,0.5559355613646033,0.5235987755982988,-0.0323367857663045,0.33776683097118954,0.40649728881053393,0.0020529433827664034,0.0001285076141357422
0.9700000000000006,0.3880873146437187,0.5235987755982988,0.1355114609545801,0.37276683097118957,0.44149728881053396,0.12955138084327567,0.00012731552124023438
0.9800000000000006,0.457667500277825,0.5235987755982988,0.06593127532047383,0.33776683097118954,0.476497288810534,0.0323367857663045,0.0001270771026611328
0.9900000000000007,0.4367865392975123,0.5235987755982988,0.0868122363007865,0.3030596450800618,0.511497288810534,0.1355114609545801,0.00012755393981933594
